date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:59:20	165/165	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Wed,%2021%20Oct%202020%2021:59:19%20GMT	https://www.dangote.com/robots.txt		(from )
21:59:22	47237/47237	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20Oct%202020%2021:59:21%20GMT	https://www.dangote.com/	www.dangote.com/index.html	(from )
21:59:22	16041/16041	---M--	200	added ('OK')	image/png	etag:%22094479b3ce3d51:0%22	https://www.dangote.com/wp-content/themes/dangote/assets/img/favicon.png	www.dangote.com/wp-content/themes/dangote/assets/img/favicon.png	(from https://www.dangote.com/)
21:59:23	1098/1098	---M-Z	200	added ('OK')	text/css	etag:%22094479b3ce3d51:0%22	https://www.dangote.com/wp-content/themes/dangote/assets/css/reset.css?ver=102	www.dangote.com/wp-content/themes/dangote/assets/css/reseta5f5.css	(from https://www.dangote.com/)
21:59:25	144877/144877	---M-Z	200	added ('OK')	text/css	etag:%22094479b3ce3d51:0%22	https://www.dangote.com/wp-content/themes/dangote/assets/css/bootstrap.min.css?ver=102	www.dangote.com/wp-content/themes/dangote/assets/css/bootstrap.mina5f5.css	(from https://www.dangote.com/)
21:59:25	100499/100499	---M-Z	200	added ('OK')	text/css	etag:%22db255d19661d61:0%22	https://www.dangote.com/wp-content/themes/dangote/style.css?ver=111	www.dangote.com/wp-content/themes/dangote/style0ad1.css	(from https://www.dangote.com/)
21:59:26	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%22094479b3ce3d51:0%22	https://www.dangote.com/wp-content/themes/dangote/assets/css/font-awesome.min.css?ver=102	www.dangote.com/wp-content/themes/dangote/assets/css/font-awesome.mina5f5.css	(from https://www.dangote.com/)
21:59:27	8166/8166	---M-Z	200	added ('OK')	text/css	etag:%22094479b3ce3d51:0%22	https://www.dangote.com/wp-content/themes/dangote/assets/css/normalize.css?ver=102	www.dangote.com/wp-content/themes/dangote/assets/css/normalizea5f5.css	(from https://www.dangote.com/)
21:59:28	76772/76772	---M-Z	200	added ('OK')	text/css	etag:%22c1e8d0a7c574d61:0%22	https://www.dangote.com/wp-content/plugins/jetpack-00/css/jetpack.css?ver=8.8.2	www.dangote.com/wp-content/plugins/jetpack-00/css/jetpack5d2d.css	(from https://www.dangote.com/)
21:59:30	804/804	---M-Z	200	added ('OK')	text/xml	date:Wed,%2021%20Oct%202020%2021:59:29%20GMT	https://www.dangote.com/xmlrpc.php?rsd	www.dangote.com/xmlrpc0db0.php	(from https://www.dangote.com/)
21:59:30	159152/159152	---M-Z	200	added ('OK')	application/json	date:Wed,%2021%20Oct%202020%2021:59:30%20GMT	https://www.dangote.com/wp-json/	www.dangote.com/wp-json/index.html	(from https://www.dangote.com/)
21:59:31	1045/1045	---M-Z	200	added ('OK')	text/xml	etag:%2229571bf23334d61:0%22	https://www.dangote.com/wp-includes/wlwmanifest.xml	www.dangote.com/wp-includes/wlwmanifest.xml	(from https://www.dangote.com/)
21:59:32	6061/6061	---M--	200	added ('OK')	image/svg+xml	etag:%22094479b3ce3d51:0%22	https://www.dangote.com/wp-content/themes/dangote/assets/img/logo-svg.svg	www.dangote.com/wp-content/themes/dangote/assets/img/logo-svg.svg	(from https://www.dangote.com/)
21:59:34	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Oct%202020%2021:59:33%20GMT	https://www.dangote.com/about-us	www.dangote.com/about-us.a.delayed	(from https://www.dangote.com/)
21:59:36	30486/30486	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20Oct%202020%2021:59:36%20GMT	https://www.dangote.com/about-us/	www.dangote.com/about-us/index.html	(from https://www.dangote.com/)
21:59:37	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Oct%202020%2021:59:36%20GMT	https://www.dangote.com/our-business	www.dangote.com/our-business.b.delayed	(from https://www.dangote.com/)
21:59:38	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Oct%202020%2021:59:37%20GMT	https://www.dangote.com/foundation	www.dangote.com/foundation.c.delayed	(from https://www.dangote.com/)
21:59:38	30162/30162	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20Oct%202020%2021:59:38%20GMT	https://www.dangote.com/sustainability/	www.dangote.com/sustainability/index.html	(from https://www.dangote.com/)
21:59:40	41543/41543	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20Oct%202020%2021:59:38%20GMT	https://www.dangote.com/our-business/	www.dangote.com/our-business/index.html	(from https://www.dangote.com/)
21:59:40	56486/56486	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20Oct%202020%2021:59:39%20GMT	https://www.dangote.com/investor-relations/	www.dangote.com/investor-relations/index.html	(from https://www.dangote.com/)
21:59:40	179534/179534	---M--	200	added ('OK')	image/jpeg	etag:%2289238148d660d61:0%22	https://www.dangote.com/wp-content/uploads/2020/07/cement_banner_promo2.jpg	www.dangote.com/wp-content/uploads/2020/07/cement_banner_promo2.jpg	(from https://www.dangote.com/)
21:59:42	35373/35373	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20Oct%202020%2021:59:41%20GMT	https://www.dangote.com/foundation/	www.dangote.com/foundation/index.html	(from https://www.dangote.com/)
21:59:43	30982/30982	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20Oct%202020%2021:59:42%20GMT	https://www.dangote.com/news/	www.dangote.com/news/index.html	(from https://www.dangote.com/)
21:59:43	451719/451719	---M--	200	added ('OK')	image/jpeg	etag:%2208a344ac4ecd51:0%22	https://www.dangote.com/wp-content/uploads/2020/02/found123-1.jpg	www.dangote.com/wp-content/uploads/2020/02/found123-1.jpg	(from https://www.dangote.com/)
21:59:44	203024/203024	---M--	200	added ('OK')	image/png	etag:%220d3c3d62de7d51:0%22	https://www.dangote.com/wp-content/uploads/2020/02/cement.png	www.dangote.com/wp-content/uploads/2020/02/cement.png	(from https://www.dangote.com/)
21:59:44	24741/24741	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20Oct%202020%2021:59:44%20GMT	https://www.dangote.com/career/	www.dangote.com/career/index.html	(from https://www.dangote.com/)
21:59:45	239444/239444	---M--	200	added ('OK')	image/png	etag:%22801a65f02de7d51:0%22	https://www.dangote.com/wp-content/uploads/2020/02/sugar-1.png	www.dangote.com/wp-content/uploads/2020/02/sugar-1.png	(from https://www.dangote.com/)
21:59:46	26276/26276	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20Oct%202020%2021:59:45%20GMT	https://www.dangote.com/contact/	www.dangote.com/contact/index.html	(from https://www.dangote.com/)
